"slug","name","country","action","reason","new_slug","eligible_languages"
"0-n-hot-on-radio-1","- 0 N - Hot on Radio","Germany","slug-rewrite","old=0-n-hot-on-radio-1 → new=0-n-hot-on-radio-1","0-n-hot-on-radio-1","en|de|tr"
"0-n-deutsch-rock-on-radio-1","- 0 N - Deutsch Rock on Radio","Germany","slug-rewrite","old=0-n-deutsch-rock-on-radio-1 → new=0-n-deutsch-rock-on-radio-1","0-n-deutsch-rock-on-radio-1","en|de|tr"
"0-n-2000s-on-radio-1","- 0 N - 2000s on Radio","Germany","slug-rewrite","old=0-n-2000s-on-radio-1 → new=0-n-2000s-on-radio-1","0-n-2000s-on-radio-1","en|de|tr"
"0-n-heavy-metal-on-radio-1","- 0 N - Heavy Metal on Radio","Germany","slug-rewrite","old=0-n-heavy-metal-on-radio-1 → new=0-n-heavy-metal-on-radio-1","0-n-heavy-metal-on-radio-1","en|de|tr"
"0-n-gothic-on-radio-1","- 0 N - Gothic on Radio","Germany","slug-rewrite","old=0-n-gothic-on-radio-1 → new=0-n-gothic-on-radio-1","0-n-gothic-on-radio-1","en|de|tr"
"0-n-hits-on-radio-1","- 0 N - Hits on Radio","Germany","slug-rewrite","old=0-n-hits-on-radio-1 → new=0-n-hits-on-radio-1","0-n-hits-on-radio-1","en|de|tr"
"w-radio-88-5-villahermosa-88-5-fm-xhkv-fm-grupo-radio-canon-villahermosa-tabasco-1","W RADIO 88.5 (Villahermosa) - 88.5 FM - XHKV-FM - Grupo Radio Cañón - Villahermosa, Tabasco.","Mexico","slug-rewrite","old=w-radio-88-5-villahermosa-88-5-fm-xhkv-fm-grupo-radio-canon-villahermosa-tabasco-1 → new=w-radio-88-5-villahermosa-88-5-fm-xhkv-fm-grupo-radio-canon-villahermosa-tabasco-1","w-radio-88-5-villahermosa-88-5-fm-xhkv-fm-grupo-radio-canon-villahermosa-tabasco-1","en|es"
"0-n-christmas-on-radio-2","- 0 N - Christmas on Radio","Germany","slug-rewrite","old=0-n-christmas-on-radio-2 → new=0-n-christmas-on-radio-2","0-n-christmas-on-radio-2","en|de|tr"
"80-exitos-1","__80 EXITOS","Spain","slug-rewrite","old=80-exitos-1 → new=80-exitos-1","80-exitos-1","en|es|ca"
"0-n-2010s-on-radio-1","- 0 N - 2010s on Radio","Germany","slug-rewrite","old=0-n-2010s-on-radio-1 → new=0-n-2010s-on-radio-1","0-n-2010s-on-radio-1","en|de|tr"
"techhouse-by-rautemusik-rm-fm-1","__TECHHOUSE__ by rautemusik (rm.fm)","Germany","slug-rewrite","old=techhouse-by-rautemusik-rm-fm-1 → new=techhouse-by-rautemusik-rm-fm-1","techhouse-by-rautemusik-rm-fm-1","en|de|tr"
"0-n-indie-on-radio-1","- 0 N - Indie on Radio","Germany","slug-rewrite","old=0-n-indie-on-radio-1 → new=0-n-indie-on-radio-1","0-n-indie-on-radio-1","en|de|tr"
"0-n-black-on-radio-1","- 0 N - Black on Radio","Germany","slug-rewrite","old=0-n-black-on-radio-1 → new=0-n-black-on-radio-1","0-n-black-on-radio-1","en|de|tr"
"0-n-deutsch-rap-on-radio-2","- 0 N - Deutsch Rap on Radio","Germany","slug-rewrite","old=0-n-deutsch-rap-on-radio-2 → new=0-n-deutsch-rap-on-radio-2","0-n-deutsch-rap-on-radio-2","en|de|tr"
"wawa-radio-101-2-fm-1","_Wawa Radio 101.2 FM","China","slug-rewrite","old=wawa-radio-101-2-fm-1 → new=wawa-radio-101-2-fm-1","wawa-radio-101-2-fm-1","en|zh"
"0-n-house-on-radio-1","- 0 N - House on Radio","Germany","slug-rewrite","old=0-n-house-on-radio-1 → new=0-n-house-on-radio-1","0-n-house-on-radio-1","en|de|tr"
"0-n-90s-on-radio-1","- 0 N - 90s on Radio","Germany","slug-rewrite","old=0-n-90s-on-radio-1 → new=0-n-90s-on-radio-1","0-n-90s-on-radio-1","en|de|tr"
"0-n-80s-on-radio-1","- 0 N - 80s on Radio","Germany","slug-rewrite","old=0-n-80s-on-radio-1 → new=0-n-80s-on-radio-1","0-n-80s-on-radio-1","en|de|tr"
"0-n-christmas-on-radio-1","- 0 N - Christmas on Radio","Germany","slug-rewrite","old=0-n-christmas-on-radio-1 → new=0-n-christmas-on-radio-1","0-n-christmas-on-radio-1","en|de|tr"
"0-n-deutsch-rap-on-radio-1","- 0 N - Deutsch Rap on Radio","Germany","slug-rewrite","old=0-n-deutsch-rap-on-radio-1 → new=0-n-deutsch-rap-on-radio-1","0-n-deutsch-rap-on-radio-1","en|de|tr"
"1-a-ndw-neue-deutsche-welle-von-1a-radio-1","- 1 A - NDW (Neue Deutsche Welle) von 1A Radio","Germany","slug-rewrite","old=1-a-ndw-neue-deutsche-welle-von-1a-radio-1 → new=1-a-ndw-neue-deutsche-welle-von-1a-radio-1","1-a-ndw-neue-deutsche-welle-von-1a-radio-1","en|de|tr"
"0-n-gold-on-radio-1","- 0 N - Gold on Radio","Germany","slug-rewrite","old=0-n-gold-on-radio-1 → new=0-n-gold-on-radio-1","0-n-gold-on-radio-1","en|de|tr"
"laut-fm-freakquency-1","[laut.fm] Freakquency","Germany","slug-rewrite","old=laut-fm-freakquency-1 → new=laut-fm-freakquency-1","laut-fm-freakquency-1","en|de|tr"
"magic-radio-1","@Magic Radio","France","slug-rewrite","old=magic-radio-1 → new=magic-radio-1","magic-radio-1","en|fr|ar"
"quran-radio-1",".Quran radio","Saudi Arabia","slug-rewrite","old=quran-radio-1 → new=quran-radio-1","quran-radio-1","en|ar"
"1-a-oldies-von-1a-radio-1","- 1 A - Oldies von 1A Radio","Germany","slug-rewrite","old=1-a-oldies-von-1a-radio-1 → new=1-a-oldies-von-1a-radio-1","1-a-oldies-von-1a-radio-1","en|de|tr"
"1-a-charts-von-1a-radio-1","- 1 A - Charts von 1A Radio","Germany","slug-rewrite","old=1-a-charts-von-1a-radio-1 → new=1-a-charts-von-1a-radio-1","1-a-charts-von-1a-radio-1","en|de|tr"
"1-a-deutsch-rap-von-1a-radio-1","- 1 A - Deutsch Rap von 1A Radio","Germany","slug-rewrite","old=1-a-deutsch-rap-von-1a-radio-1 → new=1-a-deutsch-rap-von-1a-radio-1","1-a-deutsch-rap-von-1a-radio-1","en|de|tr"
"1-a-deutsch-pop-von-1a-radio-1","- 1 A - Deutsch Pop von 1A Radio","Germany","slug-rewrite","old=1-a-deutsch-pop-von-1a-radio-1 → new=1-a-deutsch-pop-von-1a-radio-1","1-a-deutsch-pop-von-1a-radio-1","en|de|tr"
"1-a-70er-von-1a-radio-2","- 1 A - 70er von 1A Radio","Germany","slug-rewrite","old=1-a-70er-von-1a-radio-2 → new=1-a-70er-von-1a-radio-2","1-a-70er-von-1a-radio-2","en|de|tr"
"infowars-the-war-room-with-owen-shroyer-acc-32-https-streams1-1","[Infowars] [The War Room With Owen Shroyer] ACC+ [32] [https] [Streams1]","The United States Of America","slug-rewrite","old=infowars-the-war-room-with-owen-shroyer-acc-32-https-streams1-1 → new=infowars-the-war-room-with-owen-shroyer-acc-32-https-streams1-1","infowars-the-war-room-with-owen-shroyer-acc-32-https-streams1-1","en|es"
"1-a-weihnachten-von-1a-radio-1","- 1 A - Weihnachten von 1A Radio","Germany","slug-rewrite","old=1-a-weihnachten-von-1a-radio-1 → new=1-a-weihnachten-von-1a-radio-1","1-a-weihnachten-von-1a-radio-1","en|de|tr"
"1-a-relax-von-1a-radio-1","- 1 A - Relax von 1A Radio","Germany","slug-rewrite","old=1-a-relax-von-1a-radio-1 → new=1-a-relax-von-1a-radio-1","1-a-relax-von-1a-radio-1","en|de|tr"
"0-n-schlager-gold-on-radio-1","- 0 N - Schlager Gold on Radio","Germany","slug-rewrite","old=0-n-schlager-gold-on-radio-1 → new=0-n-schlager-gold-on-radio-1","0-n-schlager-gold-on-radio-1","en|de|tr"
"1-a-2000er-von-1a-radio-1","- 1 A - 2000er von 1A Radio","Germany","slug-rewrite","old=1-a-2000er-von-1a-radio-1 → new=1-a-2000er-von-1a-radio-1","1-a-2000er-von-1a-radio-1","en|de|tr"
"0-n-rock-on-radio-2","- 0 N - Rock on Radio","Germany","slug-rewrite","old=0-n-rock-on-radio-2 → new=0-n-rock-on-radio-2","0-n-rock-on-radio-2","en|de|tr"
"0-n-lounge-on-radio-1","- 0 N - Lounge on Radio","Germany","slug-rewrite","old=0-n-lounge-on-radio-1 → new=0-n-lounge-on-radio-1","0-n-lounge-on-radio-1","en|de|tr"
"0-n-jukebox-on-radio-1","- 0 N - Jukebox on Radio","Germany","slug-rewrite","old=0-n-jukebox-on-radio-1 → new=0-n-jukebox-on-radio-1","0-n-jukebox-on-radio-1","en|de|tr"
"1-a-70er-von-1a-radio-1","- 1 A - 70er von 1A Radio","Germany","slug-rewrite","old=1-a-70er-von-1a-radio-1 → new=1-a-70er-von-1a-radio-1","1-a-70er-von-1a-radio-1","en|de|tr"
"1-a-party-von-1a-radio-1","- 1 A - Party von 1A Radio","Germany","slug-rewrite","old=1-a-party-von-1a-radio-1 → new=1-a-party-von-1a-radio-1","1-a-party-von-1a-radio-1","en|de|tr"
"1-a-hits-von-1a-radio-1","- 1 A - Hits von 1A Radio","Germany","slug-rewrite","old=1-a-hits-von-1a-radio-1 → new=1-a-hits-von-1a-radio-1","1-a-hits-von-1a-radio-1","en|de|tr"
"1-a-schlager-gold-von-1a-radio-1","- 1 A - Schlager Gold von 1A Radio","Germany","slug-rewrite","old=1-a-schlager-gold-von-1a-radio-1 → new=1-a-schlager-gold-von-1a-radio-1","1-a-schlager-gold-von-1a-radio-1","en|de|tr"
"1-a-pop-von-1a-radio-1","- 1 A - Pop von 1A Radio","Germany","slug-rewrite","old=1-a-pop-von-1a-radio-1 → new=1-a-pop-von-1a-radio-1","1-a-pop-von-1a-radio-1","en|de|tr"
"0-n-klassik-on-radio-1","- 0 N - Klassik on Radio","Germany","slug-rewrite","old=0-n-klassik-on-radio-1 → new=0-n-klassik-on-radio-1","0-n-klassik-on-radio-1","en|de|tr"
"beautiful-recitation-2",".beautiful recitation","Bahrain","slug-rewrite","old=beautiful-recitation-2 → new=beautiful-recitation-2","beautiful-recitation-2","en|ar"
"0-n-soft-rock-on-radio-1","- 0 N - Soft Rock on Radio","Germany","slug-rewrite","old=0-n-soft-rock-on-radio-1 → new=0-n-soft-rock-on-radio-1","0-n-soft-rock-on-radio-1","en|de|tr"
"0-n-soft-rock-on-radio-2","- 0 N - Soft Rock on Radio","Germany","slug-rewrite","old=0-n-soft-rock-on-radio-2 → new=0-n-soft-rock-on-radio-2","0-n-soft-rock-on-radio-2","en|de|tr"
"1-a-christmas-on-radio-1","- 1 A - Christmas on Radio","Germany","slug-rewrite","old=1-a-christmas-on-radio-1 → new=1-a-christmas-on-radio-1","1-a-christmas-on-radio-1","en|de|tr"
"1-a-rock-von-1a-radio-1","- 1 A - Rock von 1A Radio","Germany","slug-rewrite","old=1-a-rock-von-1a-radio-1 → new=1-a-rock-von-1a-radio-1","1-a-rock-von-1a-radio-1","en|de|tr"
"1-a-entspannt-von-1a-radio-1","- 1 A - Entspannt von 1A Radio","Germany","slug-rewrite","old=1-a-entspannt-von-1a-radio-1 → new=1-a-entspannt-von-1a-radio-1","1-a-entspannt-von-1a-radio-1","en|de|tr"
"swr-mn-hy-lshb-1",".صور من حياة الصحابة","Algeria","slug-rewrite","old=swr-mn-hy-lshb-1 → new=swr-mn-hy-lshb-1","swr-mn-hy-lshb-1","en|ar|fr"
"1-a-classic-rock-von-1a-radio-1","- 1 A - Classic Rock von 1A Radio","Germany","slug-rewrite","old=1-a-classic-rock-von-1a-radio-1 → new=1-a-classic-rock-von-1a-radio-1","1-a-classic-rock-von-1a-radio-1","en|de|tr"
"0-n-reggae-on-radio-1","- 0 N - Reggae on Radio","Germany","slug-rewrite","old=0-n-reggae-on-radio-1 → new=0-n-reggae-on-radio-1","0-n-reggae-on-radio-1","en|de|tr"
"1-a-80er-von-1a-radio-1","- 1 A - 80er von 1A Radio","Germany","slug-rewrite","old=1-a-80er-von-1a-radio-1 → new=1-a-80er-von-1a-radio-1","1-a-80er-von-1a-radio-1","en|de|tr"
"0-n-rock-on-radio-1","- 0 N - Rock on Radio","Germany","slug-rewrite","old=0-n-rock-on-radio-1 → new=0-n-rock-on-radio-1","0-n-rock-on-radio-1","en|de|tr"
"t-is-vloms-affligem-be-1","' t Is Vloms Affligem, be","Belgium","slug-rewrite","old=t-is-vloms-affligem-be-1 → new=t-is-vloms-affligem-be-1","t-is-vloms-affligem-be-1","en|nl|fr"
"0-n-schlager-on-radio-1","- 0 N - Schlager on Radio","Germany","slug-rewrite","old=0-n-schlager-on-radio-1 → new=0-n-schlager-on-radio-1","0-n-schlager-on-radio-1","en|de|tr"
"0-n-soft-pop-on-radio-1","- 0 N - Soft Pop on Radio","Germany","slug-rewrite","old=0-n-soft-pop-on-radio-1 → new=0-n-soft-pop-on-radio-1","0-n-soft-pop-on-radio-1","en|de|tr"
"mkhtsr-lsyr-1",". مختصر السيرة","Saudi Arabia","slug-rewrite","old=mkhtsr-lsyr-1 → new=mkhtsr-lsyr-1","mkhtsr-lsyr-1","en|ar"
"beautiful-recitation-1",".Beautiful recitation","Tunisia","slug-rewrite","old=beautiful-recitation-1 → new=beautiful-recitation-1","beautiful-recitation-1","en|ar|fr"
"0-n-smooth-jazz-on-radio-2","- 0 N - Smooth Jazz on Radio","Germany","slug-rewrite","old=0-n-smooth-jazz-on-radio-2 → new=0-n-smooth-jazz-on-radio-2","0-n-smooth-jazz-on-radio-2","en|de|tr"
"0-n-party-on-radio-1","- 0 N - Party on Radio","Germany","slug-rewrite","old=0-n-party-on-radio-1 → new=0-n-party-on-radio-1","0-n-party-on-radio-1","en|de|tr"
"0-n-new-wave-on-radio-1","- 0 N - New Wave on Radio","Germany","slug-rewrite","old=0-n-new-wave-on-radio-1 → new=0-n-new-wave-on-radio-1","0-n-new-wave-on-radio-1","en|de|tr"
"0-n-volksmusik-on-radio-1","- 0 N - Volksmusik on Radio","Germany","slug-rewrite","old=0-n-volksmusik-on-radio-1 → new=0-n-volksmusik-on-radio-1","0-n-volksmusik-on-radio-1","en|de|tr"
"1-a-schlager-von-1a-radio-1","- 1 A - Schlager von 1A Radio","Germany","slug-rewrite","old=1-a-schlager-von-1a-radio-1 → new=1-a-schlager-von-1a-radio-1","1-a-schlager-von-1a-radio-1","en|de|tr"
"0-n-techno-on-radio-1","- 0 N - Techno on Radio","Germany","slug-rewrite","old=0-n-techno-on-radio-1 → new=0-n-techno-on-radio-1","0-n-techno-on-radio-1","en|de|tr"
"1-a-chillout-von-1a-radio-1","- 1 A - Chillout von 1A Radio","Germany","slug-rewrite","old=1-a-chillout-von-1a-radio-1 → new=1-a-chillout-von-1a-radio-1","1-a-chillout-von-1a-radio-1","en|de|tr"
"0-n-weihnachten-on-radio-1","- 0 N - Weihnachten on Radio","Germany","slug-rewrite","old=0-n-weihnachten-on-radio-1 → new=0-n-weihnachten-on-radio-1","0-n-weihnachten-on-radio-1","en|de|tr"
"1-a-90er-von-1a-radio-2","- 1 A - 90er von 1A Radio","Germany","slug-rewrite","old=1-a-90er-von-1a-radio-2 → new=1-a-90er-von-1a-radio-2","1-a-90er-von-1a-radio-2","en|de|tr"
"1-a-jazz-von-1a-radio-1","- 1 A - Jazz von 1A Radio","Germany","slug-rewrite","old=1-a-jazz-von-1a-radio-1 → new=1-a-jazz-von-1a-radio-1","1-a-jazz-von-1a-radio-1","en|de|tr"
"0-n-oldies-on-radio-1","- 0 N - Oldies on Radio","Germany","slug-rewrite","old=0-n-oldies-on-radio-1 → new=0-n-oldies-on-radio-1","0-n-oldies-on-radio-1","en|de|tr"
"mkhtsr-lsyr-2",".مختصر السيرة","Algeria","slug-rewrite","old=mkhtsr-lsyr-2 → new=mkhtsr-lsyr-2","mkhtsr-lsyr-2","en|ar|fr"
"rocktime-radio-1","[RockTime-Radio]","The Russian Federation","slug-rewrite","old=rocktime-radio-1 → new=rocktime-radio-1","rocktime-radio-1","en|ru"
"0-n-klassik-on-radio-2","- 0 N - Klassik on Radio","Germany","slug-rewrite","old=0-n-klassik-on-radio-2 → new=0-n-klassik-on-radio-2","0-n-klassik-on-radio-2","en|de|tr"
"quran-radio-2",".Quran radio","Saudi Arabia","slug-rewrite","old=quran-radio-2 → new=quran-radio-2","quran-radio-2","en|ar"
"0-n-smooth-jazz-on-radio-1","- 0 N - Smooth Jazz on Radio","Germany","slug-rewrite","old=0-n-smooth-jazz-on-radio-1 → new=0-n-smooth-jazz-on-radio-1","0-n-smooth-jazz-on-radio-1","en|de|tr"
"0-n-k-pop-on-radio-1","- 0 N - K-Pop on Radio","Germany","slug-rewrite","old=0-n-k-pop-on-radio-1 → new=0-n-k-pop-on-radio-1","0-n-k-pop-on-radio-1","en|de|tr"
"0-n-radio-on-radio-1","- 0 N - Radio on Radio","Germany","slug-rewrite","old=0-n-radio-on-radio-1 → new=0-n-radio-on-radio-1","0-n-radio-on-radio-1","en|de|tr"
"0-n-love-on-radio-1","- 0 N - Love on Radio","Germany","slug-rewrite","old=0-n-love-on-radio-1 → new=0-n-love-on-radio-1","0-n-love-on-radio-1","en|de|tr"
"1-a-90er-von-1a-radio-1","- 1 A - 90er von 1A Radio","Germany","slug-rewrite","old=1-a-90er-von-1a-radio-1 → new=1-a-90er-von-1a-radio-1","1-a-90er-von-1a-radio-1","en|de|tr"
"swr-mn-hy-lshb-2",".صور من حياة الصحابة","Tunisia","slug-rewrite","old=swr-mn-hy-lshb-2 → new=swr-mn-hy-lshb-2","swr-mn-hy-lshb-2","en|ar|fr"
"0-n-pop-on-radio-1","- 0 N - Pop on Radio","Germany","slug-rewrite","old=0-n-pop-on-radio-1 → new=0-n-pop-on-radio-1","0-n-pop-on-radio-1","en|de|tr"
"0-n-pop-on-radio-2","- 0 N - Pop on Radio","Germany","slug-rewrite","old=0-n-pop-on-radio-2 → new=0-n-pop-on-radio-2","0-n-pop-on-radio-2","en|de|tr"
"0-n-relax-on-radio-1","- 0 N - Relax on Radio","Germany","slug-rewrite","old=0-n-relax-on-radio-1 → new=0-n-relax-on-radio-1","0-n-relax-on-radio-1","en|de|tr"
"que-viva-mexico-1","¡Que Viva México!","Mexico","slug-rewrite","old=que-viva-mexico-1 → new=que-viva-mexico-1","que-viva-mexico-1","en|es"
"keco-rock-ballads-1","=KECO=ROCK BALLADS","Republic Of North Macedonia","slug-rewrite","old=keco-rock-ballads-1 → new=keco-rock-ballads-1","keco-rock-ballads-1","en"
"top-100-dj-charts-remix-radio-tiktok-promo-charts-electronic-music-edm-house-deep-house-dance-music-techno-hypertechno-top40-latin-charts-reggaeton-urban-moombahton-reggaeton-hiphop-funk-club-party-radio-summer-tunes-2024-2025-1","#TOP 100 - DJ CHARTS & REMIX RADIO @ TikTok PROMO Charts, Electronic Music, EDM, House, Deep House, Dance Music, Techno & Hypertechno, Top40, Latin Charts, Reggaeton, Urban, Moombahton, Reggaeton, HipHop, Funk, Club & Party Radio - & SUMMER TUNES - 2024 / 2025","Germany","slug-rewrite","old=top-100-dj-charts-remix-radio-tiktok-promo-charts-electronic-music-edm-house-deep-house-dance-music-techno-hypertechno-top40-latin-charts-reggaeton-urban-moombahton-reggaeton-hiphop-funk-club-party-radio-summer-tunes-2024-2025-1 → new=top-100-dj-charts-remix-radio-tiktok-promo-charts-electronic-music-edm-house-deep-house-dance-music-techno-hypertechno-top40-latin-charts-reggaeton-urban-moombahton-reggaeton-hiphop-funk-club-party-radio-summer-tunes-2024-2025-1","top-100-dj-charts-remix-radio-tiktok-promo-charts-electronic-music-edm-house-deep-house-dance-music-techno-hypertechno-top40-latin-charts-reggaeton-urban-moombahton-reggaeton-hiphop-funk-club-party-radio-summer-tunes-2024-2025-1","en|de|tr"
"0nlineradio-bach-1","0nlineradio BACH","Germany","slug-rewrite","old=0nlineradio-bach-1 → new=0nlineradio-bach-1","0nlineradio-bach-1","en|de|tr"
"joint-radio-reggae-1","#joint radio Reggae","Israel","slug-rewrite","old=joint-radio-reggae-1 → new=joint-radio-reggae-1","joint-radio-reggae-1","en|he|ar|ru"
"keco-70s-rock-1","=KECO=70s ROCK","Republic Of North Macedonia","slug-rewrite","old=keco-70s-rock-1 → new=keco-70s-rock-1","keco-70s-rock-1","en"
"00-s-rfm-1","00's RFM","Portugal","slug-rewrite","old=00-s-rfm-1 → new=00-s-rfm-1","00-s-rfm-1","en|pt"
"0nlineradio-beethoven-1","0nlineradio Beethoven","Germany","slug-rewrite","old=0nlineradio-beethoven-1 → new=0nlineradio-beethoven-1","0nlineradio-beethoven-1","en|de|tr"
"0nlineradio-bach-2","0nlineradio BACH","Germany","slug-rewrite","old=0nlineradio-bach-2 → new=0nlineradio-bach-2","0nlineradio-bach-2","en|de|tr"
"100-xr-1","100 XR","The United States Of America","slug-rewrite","old=100-xr-1 → new=100-xr-1","100-xr-1","en|es"
"100-greatest-classical-music-1","100 GREATEST CLASSICAL MUSIC","Canada","slug-rewrite","old=100-greatest-classical-music-1 → new=100-greatest-classical-music-1","100-greatest-classical-music-1","en|fr|es"
