url,language,segment,slug,expected_status,reason,canonical_or_target
https://themegaradio.com/th/สถานี/exa-fm-973-mty-973-fm-xhsr-fm-mvs-radio-monterrey-nuevo-len,th,สถานี,exa-fm-973-mty-973-fm-xhsr-fm-mvs-radio-monterrey-nuevo-len,noindex,language-not-eligible:Mexican station served in Thai,https://themegaradio.com/es/estacion/exa-fm-973-mty-973-fm-xhsr-fm-mvs-radio-monterrey-nuevo-len
https://themegaradio.com/sl,sl,,,homepage-thin,REQUIRED_HOMEPAGE_SEO_KEYS missing in Slovenian translations,
https://themegaradio.com/ja/ステーション/east-fm-1027-tamil,ja,ステーション,east-fm-1027-tamil,noindex,language-not-eligible:Tamil-language station served in Japanese,https://themegaradio.com/ta/நிலையம்/east-fm-1027-tamil
https://themegaradio.com/de/sender/allzic-radio-brazil,de,sender,allzic-radio-brazil,noindex,language-not-eligible:Brazilian themed station served in German,https://themegaradio.com/pt/estacao/allzic-radio-brazil
https://themegaradio.com/es/estacion/south-carolina-public-radio,es,estacion,south-carolina-public-radio,noindex,language-not-eligible:US public radio served in Spanish,https://themegaradio.com/en/station/south-carolina-public-radio
https://themegaradio.com/fa/station/rmn-dxdc-davao,fa,station,rmn-dxdc-davao,noindex,language-not-eligible:Filipino station served in Persian,https://themegaradio.com/en/station/rmn-dxdc-davao
https://themegaradio.com/en/station/radio-back-in-itime,en,station,radio-back-in-itime,indexable,en is always eligible; valid station,
https://themegaradio.com/az/stansiya/kolednoto-radio,az,stansiya,kolednoto-radio,noindex,language-not-eligible:Bulgarian Christmas station served in Azerbaijani,https://themegaradio.com/bg/stantsiya/kolednoto-radio
https://themegaradio.com/ta/நிலையம்/lokale-omroep-goirle-radio,ta,நிலையம்,lokale-omroep-goirle-radio,noindex,language-not-eligible:Dutch local station served in Tamil,https://themegaradio.com/nl/zender/lokale-omroep-goirle-radio
https://themegaradio.com/da,da,,,homepage-thin,REQUIRED_HOMEPAGE_SEO_KEYS missing in Danish translations,
https://themegaradio.com/es/estacion/radio-4-brainport-eindhoven-64-k-aac,es,estacion,radio-4-brainport-eindhoven-64-k-aac,noindex,junk:codec-suffix:-aac (also language-not-eligible),
https://themegaradio.com/es/estacion/radio-olimp-1045-fm,es,estacion,radio-olimp-1045-fm,noindex,language-not-eligible:Bulgarian station served in Spanish,https://themegaradio.com/bg/stantsiya/radio-olimp-1045-fm
https://themegaradio.com/kn/ನಿಲ್ದಾಣ/exa-fm-983-ciudad-jurezel-paso-983-fm-xhpx-fm-mvs-radio-ciudad-jurez-chihuahua,kn,ನಿಲ್ದಾಣ,exa-fm-983-ciudad-jurezel-paso-983-fm-xhpx-fm-mvs-radio-ciudad-jurez-chihuahua,noindex,language-not-eligible:Mexican station served in Kannada,https://themegaradio.com/es/estacion/exa-fm-983-ciudad-jurezel-paso-983-fm-xhpx-fm-mvs-radio-ciudad-jurez-chihuahua
https://themegaradio.com/zh/电台/sanctuary-radio-uganda-mbuya-mp3,zh,电台,sanctuary-radio-uganda-mbuya-mp3,noindex,junk:codec-suffix:-mp3,
https://themegaradio.com/af/stasie/schwarzwaldradio-aac-new-stream-url-as-of-2023,af,stasie,schwarzwaldradio-aac-new-stream-url-as-of-2023,noindex,junk:codec-substring:-aac (also test-feed pattern),
https://themegaradio.com/ru/stantsiya/cms-fm-canberra-911-fm-mp3,ru,stantsiya,cms-fm-canberra-911-fm-mp3,noindex,junk:codec-suffix:-mp3,
https://themegaradio.com/zh/电台/mdr-kultur-low,zh,电台,mdr-kultur-low,noindex,language-not-eligible:German public station served in Chinese,https://themegaradio.com/de/sender/mdr-kultur-low
